bits, path
1159039, sub-36966_ses-02/xfm
1161447, sub-04204_ses-02/xfm
1168719, sub-04211_ses-02/xfm
1172255, sub-04166_ses-02/xfm
1172347, sub-34273_ses-02/func/surfaces
1175555, sub-32436_ses-02/func/surfaces
1175663, sub-35557_ses-02/xfm
1179871, sub-04210_ses-02/xfm
1187140, sub-27960_ses-02/xfm
1191811, sub-36966_ses-02/func/surfaces
1192571, sub-27960_ses-02/func/surfaces
1196059, sub-04204_ses-02/func/surfaces
1198363, sub-31730_ses-02/func/surfaces
1205067, sub-29096_ses-02/func/surfaces
1215100, sub-37348_ses-02/dwi
1220183, sub-04178_ses-02/xfm
1222731, sub-36487_ses-02/func/surfaces
1223924, sub-35538_ses-02/xfm
1229323, sub-29332_ses-02/func/volumetric
1239123, sub-32159_ses-02/func/surfaces
1239227, sub-04211_ses-02/func/surfaces
1245475, sub-35557_ses-02/func/surfaces
1247203, sub-35538_ses-02/func/surfaces
1252778, sub-34736_ses-02/func/volumetric
1256555, sub-36487_ses-02/func/volumetric
1257523, sub-37130_ses-02/func/volumetric
1257747, sub-27934_ses-02/func/volumetric
1257883, sub-31730_ses-02/func/volumetric
1258427, sub-28982_ses-02/func/surfaces
1258819, sub-36144_ses-02/func/volumetric
1259115, sub-35538_ses-02/func/volumetric
1260099, sub-27960_ses-02/func/volumetric
1262691, sub-32436_ses-02/func/volumetric
1263083, sub-28982_ses-02/func/volumetric
1264219, sub-34273_ses-02/func/volumetric
1265523, sub-29096_ses-02/func/volumetric
1265563, sub-32310_ses-02/func/volumetric
1271795, sub-32310_ses-02/func/surfaces
1273931, sub-04166_ses-02/func/surfaces
1276035, sub-27869_ses-02/func/surfaces
1280699, sub-26896_ses-02/func/surfaces
1281371, sub-27869_ses-02/func/volumetric
1297579, sub-34359_ses-02/func/volumetric
1300083, sub-26896_ses-02/func/volumetric
1301963, sub-32159_ses-02/func/volumetric
1303323, sub-04209_ses-02/func/volumetric
1304259, sub-37348_ses-02/func/volumetric
1310211, sub-04211_ses-02/func/volumetric
1314139, sub-33789_ses-02/func/volumetric
1314427, sub-04210_ses-02/func/volumetric
1315107, sub-29332_ses-02/func/surfaces
1318451, sub-04204_ses-02/func/volumetric
1320131, sub-04201_ses-02/func/volumetric
1321427, sub-04166_ses-02/func/volumetric
1323251, sub-36966_ses-02/func/volumetric
1326379, sub-35557_ses-02/func/volumetric
1345155, sub-04178_ses-02/func/surfaces
1354571, sub-04210_ses-02/func/surfaces
1357347, sub-37348_ses-02/func/surfaces
1517618, sub-04576_ses-02/dwi
1616943, sub-32310_ses-02/xfm
1649152, sub-28982_ses-02/xfm
1669611, sub-04178_ses-02/func/volumetric
1673220, sub-04181_ses-02/dwi
1697004, sub-04209_ses-02/dwi
1698164, sub-32436_ses-02/dwi
1698868, sub-32310_ses-02/dwi
1699596, sub-37130_ses-02/dwi
1703756, sub-31730_ses-02/dwi
1704268, sub-33789_ses-02/dwi
1706172, sub-28982_ses-02/dwi
